CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,BPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,47,49,0.000446,0.021854,0.020962,1.6176594123429,35.822258219497,35.8222582194934,-5.12163665605249e-16,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.6681248
2,NoH_baseline,BPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000892,0.042816,0.041032,1.61254191595028,35.8497797524049,35.8497797524013,-1.3032181479518e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,3.0378094
3,NoH_baseline,BPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000669,0.032112,0.030774,1.61316811257902,35.8464074251782,35.8464074251747,-1.65861916594484e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.9684683
4,NoH_baseline,BPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.000594666666666667,0.0279493333333333,0.02676,1.65533963217552,35.6222577387069,35.6222577387035,-3.47828585015156e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.7398325
5,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,47,49,0.000223,0.010927,0.010481,1.52678836407968,36.3244231708857,36.3244231708817,-0.0395525184409998,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.8989212
6,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000446,0.021408,0.020516,1.53161952418026,36.2969821231948,36.2969821231909,0.0576772362212897,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.6287627
7,NoH_baseline,QPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.0003345,0.016056,0.015387,1.52215957960751,36.3507962954615,36.3507962954575,-0.0373912328599666,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.9457936
8,NoH_baseline,QPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000297333333333333,0.014272,0.0136773333333333,1.52489884005546,36.3351793186443,36.3351793186402,-0.0860156200604305,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.7981098
9,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,49,0.000148666666666667,0.00728466666666667,0.00683866666666667,1.52400671132802,36.3402624094518,36.3402624094477,-0.0376795956498978,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.0356677
10,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.000297333333333333,0.0139746666666667,0.01338,1.53783906763839,36.2617822073824,36.2617822073785,-0.103126988776523,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.8190029
11,NoH_baseline,8PSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.000223,0.010481,0.010035,1.52382690673868,36.3412872441488,36.3412872441447,0.0126670905660512,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,3.0611578
12,NoH_baseline,8PSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.000198222222222222,0.00931644444444444,0.00892,1.52574207894887,36.3303775210236,36.3303775210195,0.176613335253272,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.9697594
13,NoH_baseline,16QAM,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,49,0.0001115,0.0054635,0.005129,2.82777326789318,30.9711083080429,30.9557941735618,9.69174564262726,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.4657699
14,NoH_baseline,16QAM,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000223,0.010704,0.010258,3.30809479412944,29.6084410828887,29.6623056143433,-2.0925441436653,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.1282882
15,NoH_baseline,16QAM,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.00016725,0.008028,0.0076935,3.33709858894427,29.5326192531672,29.4653939988401,2.05812446949267,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.4581901
16,NoH_baseline,16QAM,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.000148666666666667,0.00698733333333333,0.00669,2.89870249286147,30.7559271198669,30.7663376997267,-1.13815676726713,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.3748456
17,NoH_baseline,32QAM,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,49,8.92e-05,0.0043708,0.0041032,4.32843956364263,27.2733728398646,27.2566638298883,-11.8909092512631,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.308352
18,NoH_baseline,32QAM,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.0001784,0.0083848,0.008028,4.44076781262702,27.0508386699692,27.0309895511299,-43.3512278151921,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.0869606
