CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
16,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0131726457399103,100,0.0172413793103448,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.67832727643388,28.6869926470052,28.6869926470052,NaN,-68.8418093842288,1.92865493310657e-15,0.000315769271052561,error,2,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,10.9774551
17,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.73189619710447,28.561408893643,28.561408893643,NaN,-68.7905952728242,1.92865493310657e-15,0.000315681785445905,error,2,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.5914529
18,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.70368763580394,28.6273129655425,28.6273129655425,NaN,-68.7926161783744,1.92865493310657e-15,0.000313864661115073,error,2,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.4110761
19,H_EQ_rawGain_std7_likely_Corazza,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.72948034671525,28.5670335422512,28.5670335422512,NaN,-72.2661799622275,1.92865493310657e-15,0.000211164682199342,error,2,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.2519275
20,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0134084583268904,100,0.0344827586206897,116,118,0.000892,0.105256,0.103472,3.7266925612739,28.5735286700078,28.5735286700078,NaN,-71.5771178851858,1.92865493310657e-15,0.000232073181813599,error,2,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,15.0864117
21,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.00448333848770682,100,0.0258620689655172,116,118,0.000669,0.078942,0.077604,3.72400812517344,28.5797876026101,28.5797876026101,NaN,-71.5882548999262,1.92865493310657e-15,0.000229784943979326,error,2,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,9.1709785
22,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.00745902273078707,100,0.0172413793103448,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.68589893703608,28.6691315358346,28.6691315358346,NaN,-71.8418125912991,1.92865493310657e-15,0.000223547524279712,error,2,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,8.3883202
23,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.000701975960944259,100,0.00862068965517241,116,118,0.00053568,0.06321024,0.06213888,3.75090696780498,28.5172741468441,28.5172741468441,NaN,-71.7905969850295,1.92865493310657e-15,0.000223485589213286,error,2,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.722653
24,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.000254283477139436,100,0.00862068965517241,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.68034230882334,28.6822357139247,28.6822357139247,NaN,-71.792621029277,1.92865493310657e-15,0.000222199163703572,error,2,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.4970205
25,H_EQ_rawGain_std8_likely_Lutz,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.69258561794562,28.6533885230541,28.6533885230541,NaN,-62.076382587842,1.92865493310657e-15,0.000387800130569578,error,2,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.0557365
26,H_EQ_rawGain_std8_likely_Lutz,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000892,0.105256,0.103472,3.71838000867061,28.5929245708126,28.5929245708126,NaN,-62.0225886902582,1.92865493310657e-15,0.00038937174450727,error,2,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,11.9054922
27,H_EQ_rawGain_std8_likely_Lutz,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.72994172109169,28.565959076459,28.565959076459,NaN,-62.0220800355533,1.92865493310657e-15,0.000389208772623244,error,2,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,8.9220768
28,H_EQ_rawGain_std8_likely_Lutz,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.70634135869347,28.6210916821573,28.6210916821573,NaN,-62.1573478840715,1.92865493310657e-15,0.000383545622726074,error,2,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,8.103044
29,H_EQ_rawGain_std8_likely_Lutz,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.82216487130575,28.3538116666354,28.3538116666354,NaN,-62.2263741564985,1.92865493310657e-15,0.00038021188501316,error,2,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.4529674
30,H_EQ_rawGain_std8_likely_Lutz,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.84845877950019,28.2942632153834,28.2942632153834,NaN,-62.1944763107465,1.92865493310657e-15,0.000381807325016462,error,2,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.2449825
